Date,Open,High,Low,Close
2022-06-29,314.329987,315.160004,312.519989,312.859985
2022-06-28,316.649994,319.109985,315.190002,319.109985
2022-06-27,314.309998,319.079987,311.850006,316.200012
2022-06-24,307.470001,313.420013,306.269989,312.070007
2022-06-23,308.809998,310.940002,304.130005,305.450012
2022-06-22,317.470001,317.630005,308.079987,308.079987
2022-06-21,315.950012,318.73999,313.660004,316.380005
2022-06-20,321.459991,321.619995,311.709991,314.440002
2022-06-17,316.359985,320.709991,314.790009,320.089996
2022-06-16,326.720001,328.839996,321.540009,322.25
2022-06-15,327.700012,328.299988,320.290009,322.209991
2022-06-14,325.679993,329.269989,323.359985,328.230011
2022-06-13,335.76001,335.970001,329.880005,329.880005
2022-06-10,342.320007,343.25,340.660004,341.890015
2022-06-09,345.350006,346.820007,343.690002,346.619995
2022-06-08,346.459991,348.109985,345.559998,346.220001
2022-06-07,350.040009,350.529999,345.019989,345.670013
2022-06-03,353.470001,353.929993,351.100006,352.01001
2022-06-02,352.290009,352.809998,349.549988,350.51001
2022-05-31,351.790009,354.720001,350.01001,354.540009
2022-05-30,351.529999,352.850006,350.070007,352.48999
2022-05-27,348.420013,349.109985,347.149994,348.040009
2022-05-26,345.540009,349.029999,342.649994,344.26001
2022-05-25,346.339996,347.600006,343.51001,345.600006
2022-05-24,349.019989,349.790009,344.079987,344.079987
2022-05-23,351.160004,351.410004,348.480011,350.339996
2022-05-20,345.149994,349.679993,344.890015,349.290009
2022-05-19,341.070007,344.100006,340.549988,343.23999
2022-05-18,349.619995,351.200012,347.149994,348.339996
2022-05-17,345.140015,347.910004,345.130005,347.529999
2022-05-16,348.130005,348.880005,343.519989,343.940002
2022-05-13,340.48999,345.820007,339.720001,345.5
2022-05-12,340.140015,343.029999,337.649994,337.940002
2022-05-11,342.220001,344.450012,341.220001,343.440002
2022-05-10,343.220001,344.730011,338.459991,343.670013
2022-05-06,350.26001,350.26001,347.980011,349
2022-05-04,354.850006,356.049988,352.269989,353.850006
2022-05-03,354.279999,356.450012,353.119995,353.320007
2022-05-02,351.309998,354.529999,350.940002,354.019989
2022-04-29,350.429993,355.339996,349.730011,355.079987
2022-04-28,348.609985,350.160004,346.019989,350.160004
2022-04-27,346.420013,346.779999,343.76001,346.209991
2022-04-26,351.329987,352.200012,350.380005,350.670013
2022-04-25,351.359985,352.26001,348.910004,348.980011
2022-04-22,355.540009,356.079987,353.640015,355.429993
2022-04-21,358.329987,360.73999,358.23999,359.019989
2022-04-20,357.140015,358.279999,354.929993,357.519989
2022-04-19,355.769989,358.529999,355.290009,357.359985
2022-04-18,352.190002,354.869995,351.459991,353.630005
2022-04-15,354.350006,355.100006,352.630005,353.839996
2022-04-14,359.230011,359.290009,356.170013,357.380005
2022-04-13,353.829987,359.429993,353.299988,359
2022-04-12,353.51001,354.829987,351.369995,352.320007
2022-04-11,354.470001,357.730011,353.779999,355.779999
2022-04-08,356.859985,357.619995,354.269989,356.01001
2022-04-07,358.429993,358.920013,355.369995,355.730011
2022-04-06,362.040009,362.959991,360.519989,361.01001
2022-04-05,366.079987,366.670013,363.670013,364.73999
2022-04-04,361.850006,365.079987,360.690002,364.940002
2022-04-01,363.970001,364.100006,361.540009,363.190002
2022-03-31,364.100006,367.01001,363.940002,365.609985
2022-03-30,366.170013,366.820007,363.640015,364.5
2022-03-29,364.179993,365.559998,362.269989,363.769989
2022-03-28,360.630005,363.25,358.700012,362.059998
2022-03-25,364.76001,364.920013,361.339996,362.059998
2022-03-24,361.829987,363.5,360.399994,363.380005
2022-03-23,364.059998,366.399994,362.890015,364.839996
2022-03-22,358.76001,362.109985,358.609985,361.660004
2022-03-21,363.809998,363.859985,358.410004,358.769989
2022-03-18,361.160004,362.779999,359.600006,362.329987
2022-03-17,362.390015,364.179993,361.359985,361.459991
2022-03-16,354.880005,356.290009,351.970001,356.089996
2022-03-15,352.339996,353.899994,350.380005,351.029999
2022-03-14,354.720001,356.480011,352.820007,354.609985
2022-03-11,355.950012,356.850006,353.26001,355.309998
2022-03-10,354.329987,358.269989,354.329987,358.01001
2022-03-08,348.119995,352.820007,346.850006,349.380005
2022-03-07,356.589996,356.589996,351.910004,353.029999
2022-03-04,365.350006,365.540009,360.190002,361.690002
2022-03-03,364.369995,367.399994,363.98999,367.059998
2022-03-02,361.519989,362.809998,359.890015,360.589996
2022-02-28,356.589996,361.540009,355.769989,361.540009
2022-02-25,358.790009,360.850006,357.019989,358.440002
2022-02-24,360.049988,360.769989,354.01001,355.040009
2022-02-23,366.25,366.579987,362.390015,364.440002
2022-02-22,362.929993,364.809998,360.73999,363.51001
2022-02-21,362.829987,368.75,361.140015,368.290009
2022-02-18,365.570007,369.320007,364.690002,368.549988
2022-02-17,368.109985,373.029999,365.480011,369.549988
2022-02-16,365.959991,367.660004,364.640015,367.299988
2022-02-15,364.440002,364.790009,358.75,360.429993
2022-02-14,364.359985,365.970001,360.459991,362.980011
2022-02-11,367.540009,371.350006,366.899994,368.609985
2022-02-10,371.839996,372.859985,369.299988,371.570007
2022-02-09,367.019989,368.649994,365.790009,368.649994
2022-02-08,365.910004,367.320007,360.779999,363.480011
2022-02-07,365.399994,365.399994,359.589996,362.920013
2022-02-04,363.100006,366.790009,361.839996,366.339996
2022-02-03,364.070007,366.130005,361.600006,361.600006
2022-01-28,350.290009,358.839996,347.279999,357.980011
2022-01-27,360.829987,363.109985,348.549988,348.579987
2022-01-26,363.720001,365.309998,360.470001,360.829987
2022-01-25,370.299988,370.730011,359.850006,362.390015
2022-01-24,374.640015,375.450012,369.630005,371.299988
2022-01-21,376.73999,377.690002,373.350006,376.079987
2022-01-20,377.970001,380.450012,376.48999,380.390015
2022-01-19,377.75,381.910004,376.73999,378.209991
2022-01-18,385.070007,385.630005,379.790009,381.01001
2022-01-17,387,387.329987,381.559998,383.809998
2022-01-14,389.660004,390.809998,386.25,387.450012
2022-01-13,395.679993,395.929993,392.519989,393
2022-01-12,392.290009,394.869995,391.959991,394.660004
2022-01-11,388.320007,390.429993,386.26001,388.970001
2022-01-10,389.679993,390.23999,384.790009,387.519989
2022-01-07,388.299988,391.75,388.059998,390.850006
2022-01-06,386.589996,390.51001,385.299988,386.220001
2022-01-05,394.910004,395.200012,387.559998,390.390015
2022-01-04,396.01001,396.709991,393.350006,395.399994
2021-12-30,397.130005,398.589996,393.890015,394.190002
2021-12-29,398.73999,399.160004,395.850006,396.720001
